Url,Company,Description
https://www.rocketpunch.com//companies/zeroground#funded,제로그라운드,제로그라운드는 Zero to One을 꿈꾸는 문제 해결가(Problem Solver)들을 환영합니다. 저희와 함께 헤어 디자이너들의 Zero to One Platform 'PALETTE H' 공유 미용실을 만들어 나갈 리더를 찾습니다!
https://www.rocketpunch.com//companies/visa#funded,VISA,
https://www.rocketpunch.com//companies/farmnate#funded,팜네이트,농촌과 도시를 잇는 농식품 전문 유통회사
https://www.rocketpunch.com//companies/hellofactory#funded,헬로팩토리,하드웨어 와 소프트웨어 융합서비스를 제공하는 글로벌 진출 스타트업
https://www.rocketpunch.com//companies/sinest#funded,주식회사 시니스트,"블록체인, 빅데이터, 딥러닝 등 기술 기반의 서비스, 플랫폼 스타트업"
https://www.rocketpunch.com//companies/bangbangmatch#funded,뱅뱅매치,Global dating service
https://www.rocketpunch.com//companies/swerve#funded,스월브,인공지능 기반 온라인 댄스 컨텐츠 플랫폼을 제작하여 소비자들이 즐겁게 춤을 즐길 수 있도록 돕는 기업입니다.
https://www.rocketpunch.com//companies/nomadher#funded,노매드헐,Global social enterprise to empower women through travelling @StationF
https://www.rocketpunch.com//companies/ubeeslab#funded,유비스랩,축구 분석 웨어러블 솔루션 사커비를 운영하고 있습니다.
https://www.rocketpunch.com//companies/jimnoteu#funded,짐노트,세상에서 가장 간편한 건강관리앱
https://www.rocketpunch.com//companies/fastcampus#funded,패스트캠퍼스,패스트캠퍼스는 개인과 조직의 실질적인 ‘업’의 성장을 돕고자 모든 종류의 교육 콘텐츠 서비스를 제공하는 대한민국 No. 1 교육 서비스 스타트업니다.
https://www.rocketpunch.com//companies/mshuttle#funded,모두의셔틀,출퇴근 여정을 혁신하는 공유셔틀 모빌리티 서비스
https://www.rocketpunch.com//companies/lawcompany#funded,로앤컴퍼니,법률과 인공지능 Technology을 통해 법률 서비스의 새로운 패러다임을 만듭니다.
https://www.rocketpunch.com//companies/ateamventures#funded,에이팀벤처스,"제조의 서비스화(Maas, Manufacturing as a Service)  에이팀벤처스가 제조의 패러다임을 바꾸겠습니다."
https://www.rocketpunch.com//companies/villagepeople#funded,빌리지피플,펫가구를 위한 지역정보와 로컬커뮤니티 서비스를 제공합니다.
https://www.rocketpunch.com//companies/danggub#funded,당구비,데이터 기반의 당구 통합 플랫폼
https://www.rocketpunch.com//companies/ubertechnologies#funded,우버,Transportation As Reliable As Running Water
https://www.rocketpunch.com//companies/iut-lab#funded,아이써클,위치기반 베이비시터 구인구직/동네교육정보 플랫폼
https://www.rocketpunch.com//companies/petplanet#funded,펫피플,"대한민국을 대표하는 펫 서비스, '펫플래닛'과 '와요'를 만들어가는 회사입니다"
https://www.rocketpunch.com//companies/aine#funded,에이네,Almost is never enough / 인공지능 기반 소셜 플랫폼
